size,group,round,id_in_group,split,high,guess,win,payoff,id,strategy
GoR_2,40,3,1,1,1,51.0,0,0.0,t5xedv19,
GoR_2,40,3,2,1,1,30.0,1,2.0,n7ujxegn,
GoR_2,40,4,1,1,1,41.0,0,0.0,t5xedv19,
GoR_2,40,4,2,1,1,29.0,1,2.0,n7ujxegn,
GoR_2,40,5,1,1,1,37.0,0,0.0,t5xedv19,
GoR_2,40,5,2,1,1,27.0,1,2.0,n7ujxegn,
GoR_2,40,6,1,1,1,25.0,0,0.0,t5xedv19,
GoR_2,40,6,2,1,1,20.0,1,2.0,n7ujxegn,
GoR_2,40,7,1,1,1,23.0,0,0.0,t5xedv19,
GoR_2,40,7,2,1,1,14.0,1,2.0,n7ujxegn,
GoR_2,40,8,1,1,1,18.0,0,0.0,t5xedv19,"I used no strategy, as I just guessed."
GoR_2,40,8,2,1,1,12.0,1,2.0,n7ujxegn,"I thought that most people would start with close to 2/3 of the total amount that could be chose which would be around 66 out of 100, then chose a lower number closer to 2/3 of that. Then as the rounds when on I paid attention to what the other person picked as their number and adjusted my number, usually going lower because most will lower their number if they lose trying to get closer to the 2/3 amount from the previous round."
GoR_2,41,1,1,0,0,50.0,0,0.36,mtexw48b,
GoR_2,41,1,2,0,0,45.0,1,3.0,4eoia1tf,
GoR_2,41,2,1,0,0,60.0,0,0.36,mtexw48b,
GoR_2,41,2,2,0,0,38.0,1,3.0,4eoia1tf,
GoR_2,41,3,1,0,0,46.0,0,0.36,mtexw48b,
GoR_2,41,3,2,0,0,42.0,1,3.0,4eoia1tf,
GoR_2,41,4,1,0,0,45.0,0,0.36,mtexw48b,
GoR_2,41,4,2,0,0,40.0,1,3.0,4eoia1tf,
